"RaceNo","Date","Site","Cars","Len","Sfc","Miles","Cau","Speed","LC","Driver","Finish","Start","CarNumber","Make","Pts","Laps","Led","Status","Rating","Team"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Jeff Gordon",1,15,"#24","Chevrolet","185/5",203,29,"Running",123.5,"Hendrick Motorsports"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Kurt Busch",2,13,"#97","Ford","170/0",203,0,"Running",110.7,"Roush Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Dale Earnhardt Jr.",3,5,"#8","Chevrolet","170/5",203,2,"Running",89.5,"Dale Earnhardt Inc."
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Scott Riggs",4,12,"#10","Chevrolet","160/0",203,0,"Running",103.6,"MB2 Motorsports"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Jimmie Johnson",5,2,"#48","Chevrolet","160/5",203,3,"Running",103.2,"Hendrick Motorsports"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Mark Martin",6,32,"#6","Ford","150/0",203,0,"Running",95.5,"Roush Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Tony Stewart",7,4,"#20","Chevrolet","156/10",203,107,"Running",126.5,"Joe Gibbs Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Sterling Marlin",8,18,"#40","Dodge","142/0",203,0,"Running",82.5,"Chip Ganassi Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Kevin Lepage",9,8,"#37","Dodge","138/0",203,0,"Running",48.1,"RJ Motorsports"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Rusty Wallace",10,36,"#2","Dodge","134/0",203,0,"Running",85.9,"Penske Racing South"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Elliott Sadler",11,39,"#38","Ford","130/0",203,0,"Running",59.6,"Robert Yates Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Carl Edwards",12,27,"#99","Ford","127/0",203,0,"Running",81.9,"Roush Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Joe Nemechek",13,34,"#01","Chevrolet","129/5",203,2,"Running",81.8,"MB2 Motorsports"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Dave Blaney",14,38,"#07","Chevrolet","121/0",203,0,"Running",78.7,"Richard Childress Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Dale Jarrett",15,1,"#88","Ford","118/0",203,0,"Running",60.2,"Robert Yates Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Jeff Green",16,26,"#43","Dodge","115/0",203,0,"Running",55.7,"Petty Enterprises"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Kyle Petty",17,33,"#45","Dodge","117/5",203,1,"Running",53.6,"Petty Enterprises"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Mike Bliss",18,35,"#0","Chevrolet","109/0",203,0,"Running",58.3,"Haas CNC Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Travis Kvapil",19,25,"#77","Dodge","106/0",203,0,"Running",71,"Penske-Jasper Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Ryan Newman",20,9,"#12","Dodge","108/5",203,1,"Running",98,"Penske Racing South"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Brian Vickers",21,28,"#25","Chevrolet","100/0",203,0,"Running",69.9,"Hendrick Motorsports"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Kasey Kahne",22,37,"#9","Dodge","97/0",203,0,"Running",82.6,"Evernham Motorsports"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Jeremy Mayfield",23,24,"#19","Dodge","99/5",203,1,"Running",62,"Evernham Motorsports"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Ricky Rudd",24,11,"#21","Ford","91/0",202,0,"Running",53.4,"Wood Brothers Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Greg Biffle",25,23,"#16","Ford","88/0",201,0,"Running",69,"Roush Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Casey Mears",26,29,"#41","Dodge","85/0",199,0,"Running",54.7,"Chip Ganassi Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Boris Said",27,41,"#136","Chevrolet","82/0",198,0,"Running",33.6,"MB2 Motorsports"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Kevin Harvick",28,30,"#29","Chevrolet","84/5",198,1,"Running",47.9,"Richard Childress Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Jeff Burton",29,6,"#31","Chevrolet","81/5",194,6,"Running",81.4,"Richard Childress Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Mike Skinner",30,7,"#23","Dodge","73/0",187,0,"accident",72.8,"Bill Davis Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"John Andretti",31,42,"#14","Ford","70/0",187,0,"accident",45.8,"ppc Racing"
1,2005-02-20,"Daytona",43,2.5,"P",508,11,135.173,22,"Jamie McMurray",32,17,"#42","Dodge","67/0",184,0,"accident",80.5,"Chip Ganassi Racing"
